"","X","Pollster","Dates","start_date","end_date","observations","sample_subpopulation","McCain","Obama2008","Barr","Nader","Other","Undecided","Margin","Year","State","EndDaysUntil","StartDaysUntil","MidDaysUntil","Dem2P","Rep2P","DemVote","RepVote","VoteErrorAbs","McKinney","NV","Refuse","Not.Voting","Paul","survey_house","ActualMargin","PollMargin","Romney","Obama2012","poll_slug","question_text","margin_of_error","mode","partisanship","partisan_affiliation","None","Refused","Trump","Clinton","Johnson","McMullin","MidDaysFactor","competitive","MarginError","MarginErrorAbs","VoteError","PVRepVote","PVDemVote","PVMargin"
"11",11,"Capital Survey Research Center","7/29-8/4/08","7/29/2008","8/4/2008",571,"LV",47,34,"1","2","-","16","+13R",2008,"AL",92,98,95,0.42,0.58,0.391,0.609,2.9,NA,NA,NA,NA,NA,"Capital Survey Research Center",-22,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-9,9,-0.029,0.628977713522823,0.371022286477178,-0.256162874353236
"12",12,"Rasmussen","7/31/2008","7/31/2008","7/31/2008",500,"LV",58,38,"-","-","2","2","+20R",2008,"AL",96,96,96,0.396,0.604,0.391,0.609,0.5,NA,NA,NA,NA,NA,"Rasmussen",-22,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-2,2,-0.005,0.628977713522823,0.371022286477178,-0.256162874353236
"13",13,"Zogby (Internet)","6/11-30/08","6/11/2008","6/30/2008",481,"LV",47,36,"4","0","5","7","+11R",2008,"AL",127,146,136.5,0.434,0.566,0.391,0.609,4.3,NA,NA,NA,NA,NA,"Zogby (Internet)",-22,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-11,11,-0.043,0.628977713522823,0.371022286477178,-0.256162874353236
"14",14,"Rasmussen","6/26/2008","6/26/2008","6/26/2008",500,"LV",51,36,"-","-","7","5","+15R",2008,"AL",131,131,131,0.414,0.586,0.391,0.609,2.3,NA,NA,NA,NA,NA,"Rasmussen",-22,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-7,7,-0.023,0.628977713522823,0.371022286477178,-0.256162874353236
"15",15,"Capital Survey Research Center","6/25-26/08","6/25/2008","6/26/2008",536,"LV",49,36,"-","-","-","15","+13R",2008,"AL",131,132,131.5,0.424,0.576,0.391,0.609,3.3,NA,NA,NA,NA,NA,"Capital Survey Research Center",-22,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-9,9,-0.033,0.628977713522823,0.371022286477178,-0.256162874353236
"16",16,"Capital Survey Research Center","5/15-6/2/08","5/15/2008","6/2/2008",607,"LV",57,33,"-","-","-","9","+24R",2008,"AL",155,173,164,0.367,0.633,0.391,0.609,2.4,NA,NA,NA,NA,NA,"Capital Survey Research Center",-22,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",2,2,0.024,0.628977713522823,0.371022286477178,-0.256162874353236
"17",17,"Rasmussen","5/27/2008","5/27/2008","5/27/2008",500,"LV",60,32,"-","-","6","3","+28R",2008,"AL",161,161,161,0.348,0.652,0.391,0.609,4.3,NA,NA,NA,NA,NA,"Rasmussen",-22,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",6,6,0.043,0.628977713522823,0.371022286477178,-0.256162874353236
"18",18,"SurveyUSA","5/16-18/08","5/16/2008","5/18/2008",600,"RV",57,34,"-","-","-","9","+23R",2008,"AL",170,172,171,0.374,0.626,0.391,0.609,1.7,NA,NA,NA,NA,NA,"SurveyUSA",-22,-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",1,1,0.017,0.628977713522823,0.371022286477178,-0.256162874353236
"19",19,"Capital Survey Research Center","4/16-24/08","4/16/2008","4/24/2008",887,"LV",55,36,"-","-","-","9","+19R",2008,"AL",194,202,198,0.396,0.604,0.391,0.609,0.5,NA,NA,NA,NA,NA,"Capital Survey Research Center",-22,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",-3,3,-0.005,0.628977713522823,0.371022286477178,-0.256162874353236
"20",20,"SurveyUSA","4/11-13/08","4/11/2008","4/13/2008",540,"RV",64,32,"-","-","-","4","+32R",2008,"AL",205,207,206,0.333,0.667,0.391,0.609,5.8,NA,NA,NA,NA,NA,"SurveyUSA",-22,-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",10,10,0.058,0.628977713522823,0.371022286477178,-0.256162874353236
"21",21,"Rasmussen","4/2/2008","4/2/2008","4/2/2008",500,"LV",55,37,"-","-","6","3","+18R",2008,"AL",216,216,216,0.402,0.598,0.391,0.609,1.1,NA,NA,NA,NA,NA,"Rasmussen",-22,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",-4,4,-0.011,0.628977713522823,0.371022286477178,-0.256162874353236
"22",22,"Press-Register/U S. Alabama","3/24-27/08","3/24/2008","3/27/2008",413,"LV",57,30,"-","-","2","11","+27R",2008,"AL",222,225,223.5,0.345,0.655,0.391,0.609,4.6,NA,NA,NA,NA,NA,"Press-Register/U S. Alabama",-22,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",5,5,0.046,0.628977713522823,0.371022286477178,-0.256162874353236
"23",23,"SurveyUSA","3/14-16/08","3/14/2008","3/16/2008",544,"RV",62,35,"-","-","-","4","+27R",2008,"AL",233,235,234,0.361,0.639,0.391,0.609,3,NA,NA,NA,NA,NA,"SurveyUSA",-22,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",5,5,0.03,0.628977713522823,0.371022286477178,-0.256162874353236
"24",24,"SurveyUSA","2/26-28/08","2/26/2008","2/28/2008",604,"RV",54,40,"-","-","-","6","+14R",2008,"AL",250,252,251,0.426,0.574,0.391,0.609,3.5,NA,NA,NA,NA,NA,"SurveyUSA",-22,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",-8,8,-0.035,0.628977713522823,0.371022286477178,-0.256162874353236
"25",25,"SurveyUSA","2/15-17/08","2/15/2008","2/17/2008",554,"RV",58,34,"-","-","-","7","+24R",2008,"AL",261,263,262,0.37,0.63,0.391,0.609,2.1,NA,NA,NA,NA,NA,"SurveyUSA",-22,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",2,2,0.021,0.628977713522823,0.371022286477178,-0.256162874353236
"26",26,"Press-Register/U S. Alabama","2/11-14/08","2/11/2008","2/14/2008",421,"LV",59,31,"-","-","4","6","+28R",2008,"AL",264,267,265.5,0.344,0.656,0.391,0.609,4.7,NA,NA,NA,NA,NA,"Press-Register/U S. Alabama",-22,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",6,6,0.047,0.628977713522823,0.371022286477178,-0.256162874353236
"27",27,"SurveyUSA","1/16-17/08","1/16/2008","1/17/2008",537,"RV",63,29,"-","-","-","8","+34R",2008,"AL",292,293,292.5,0.315,0.685,0.391,0.609,7.6,NA,NA,NA,NA,NA,"SurveyUSA",-22,-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",12,12,0.076,0.628977713522823,0.371022286477178,-0.256162874353236
"28",28,"SurveyUSA","12/13-15/07","12/13/2007","12/15/2007",544,"RV",54,36,"-","-","-","11","+18R",2008,"AL",325,327,326,0.4,0.6,0.391,0.609,0.9,NA,NA,NA,NA,NA,"SurveyUSA",-22,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","noncompetitive",-4,4,-0.009,0.628977713522823,0.371022286477178,-0.256162874353236
"29",29,"SurveyUSA","11/9-11/07","11/9/2007","11/11/2007",532,"RV",56,35,"-","-","-","9","+21R",2008,"AL",359,361,360,0.385,0.615,0.391,0.609,0.6,NA,NA,NA,NA,NA,"SurveyUSA",-22,-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","noncompetitive",-1,1,0.006,0.628977713522823,0.371022286477178,-0.256162874353236
"33",33,"Hays Research (D)","11/2/2008","11/2/2008","11/2/2008",400,"A",48,45,"-","-","2","5","+3R",2008,"AK",2,2,2,0.484,0.516,0.39,0.61,9.4,NA,NA,NA,NA,NA,"Hays Research (D)",-22,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last week","noncompetitive",-19,19,-0.094,0.632262829812463,0.367737170187537,-0.255484680004351
"34",34,"YouGov/Polimetrix","10/18-11/1/08","10/18/2008","11/1/2008",352,"RV",55,38,"-","-","2","5","+17R",2008,"AK",3,17,10,0.409,0.591,0.39,0.61,1.9,NA,NA,NA,NA,NA,"YouGov/Polimetrix",-22,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-5,5,-0.019,0.632262829812463,0.367737170187537,-0.255484680004351
"35",35,"DailyKos.com (D)/Research 2000","10/28-30/08","10/28/2008","10/30/2008",600,"LV",58,39,"-","-","1","2","+19R",2008,"AK",5,7,6,0.402,0.598,0.39,0.61,1.2,NA,NA,NA,NA,NA,"DailyKos.com (D)/Research 2000",-22,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last week","noncompetitive",-3,3,-0.012,0.632262829812463,0.367737170187537,-0.255484680004351
"36",36,"Dittman (R)","10/24-29/08","10/24/2008","10/29/2008",489,"LV",56,37,"-","-","-","7","+19R",2008,"AK",6,11,8.5,0.398,0.602,0.39,0.61,0.8,NA,NA,NA,NA,NA,"Dittman (R)",-22,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-3,3,-0.008,0.632262829812463,0.367737170187537,-0.255484680004351
"37",37,"Rasmussen","10/28/2008","10/28/2008","10/28/2008",500,"LV",57,41,"-","-","1","1","+16R",2008,"AK",7,7,7,0.418,0.582,0.39,0.61,2.8,NA,NA,NA,NA,NA,"Rasmussen",-22,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last week","noncompetitive",-6,6,-0.028,0.632262829812463,0.367737170187537,-0.255484680004351
"38",38,"Ivan Moore","10/17-19/08","10/17/2008","10/19/2008",500,"LV",53,42,"-","-","-","5","+11R",2008,"AK",16,18,17,0.442,0.558,0.39,0.61,5.2,NA,NA,NA,NA,NA,"Ivan Moore",-22,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Weeks to Go","noncompetitive",-11,11,-0.052,0.632262829812463,0.367737170187537,-0.255484680004351
"39",39,"DailyKos.com (D)/Research 2000","10/14-16/08","10/14/2008","10/16/2008",600,"LV",57,38,"-","-","2","3","+19R",2008,"AK",19,21,20,0.4,0.6,0.39,0.61,1,NA,NA,NA,NA,NA,"DailyKos.com (D)/Research 2000",-22,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Weeks to Go","noncompetitive",-3,3,-0.01,0.632262829812463,0.367737170187537,-0.255484680004351
"40",40,"Rasmussen","10/6/2008","10/6/2008","10/6/2008",500,"LV",55,40,"-","-","1","3","+15R",2008,"AK",29,29,29,0.421,0.579,0.39,0.61,3.1,NA,NA,NA,NA,NA,"Rasmussen",-22,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 Weeks to Go","noncompetitive",-7,7,-0.031,0.632262829812463,0.367737170187537,-0.255484680004351
"41",41,"Ivan Moore","10/3-6/08","10/3/2008","10/6/2008",500,"LV",55,38,"-","-","-","8","+17R",2008,"AK",29,32,30.5,0.409,0.591,0.39,0.61,1.9,NA,NA,NA,NA,NA,"Ivan Moore",-22,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 Weeks to Go","noncompetitive",-5,5,-0.019,0.632262829812463,0.367737170187537,-0.255484680004351
"42",42,"Fairleigh Dickinson","9/17-21/08","9/17/2008","9/21/2008",601,"LV",55,37,"-","-","3","5","+18R",2008,"AK",44,48,46,0.402,0.598,0.39,0.61,1.2,NA,NA,NA,NA,NA,"Fairleigh Dickinson",-22,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Weeks to Go","noncompetitive",-4,4,-0.012,0.632262829812463,0.367737170187537,-0.255484680004351
"43",43,"DailyKos.com (D)/Research 2000","9/15-17/08","9/15/2008","9/17/2008",600,"LV",55,38,"-","-","-","7","+17R",2008,"AK",48,50,49,0.409,0.591,0.39,0.61,1.9,NA,NA,NA,NA,NA,"DailyKos.com (D)/Research 2000",-22,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Weeks to Go","noncompetitive",-5,5,-0.019,0.632262829812463,0.367737170187537,-0.255484680004351
"44",44,"ARG","9/9-11/08","9/9/2008","9/11/2008",600,"LV",55,39,"-","-","2","3","+16R",2008,"AK",54,56,55,0.415,0.585,0.39,0.61,2.5,NA,NA,NA,NA,NA,"ARG",-22,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","noncompetitive",-6,6,-0.025,0.632262829812463,0.367737170187537,-0.255484680004351
"45",45,"Rasmussen","9/9/2008","9/9/2008","9/9/2008",500,"LV",64,33,"-","-","0","3","+31R",2008,"AK",56,56,56,0.34,0.66,0.39,0.61,5,NA,NA,NA,NA,NA,"Rasmussen",-22,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","noncompetitive",9,9,0.05,0.632262829812463,0.367737170187537,-0.255484680004351
"46",46,"American Viewpoint (R-McCain)","9/2/2008","9/2/2008","9/2/2008",400,"RV",57,33,"-","-","-","-","+24R",2008,"AK",63,63,63,0.367,0.633,0.39,0.61,2.3,NA,NA,NA,NA,NA,"American Viewpoint (R-McCain)",-22,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 Weeks to Go","noncompetitive",2,2,0.023,0.632262829812463,0.367737170187537,-0.255484680004351
"47",47,"Ivan Moore","8/30-9/2/08","8/30/2008","9/2/2008",500,"LV",54,35,"-","-","-","12","+19R",2008,"AK",63,66,64.5,0.393,0.607,0.39,0.61,0.3,NA,NA,NA,NA,NA,"Ivan Moore",-22,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Weeks to Go","noncompetitive",-3,3,-0.003,0.632262829812463,0.367737170187537,-0.255484680004351
"48",48,"Hays Research (D)","8/6-7/08","8/6/2008","8/7/2008",400,"A",40,45,"-","2","2","10","+5D",2008,"AK",89,90,89.5,0.529,0.471,0.39,0.61,13.9,NA,NA,NA,NA,NA,"Hays Research (D)",-22,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-27,27,-0.139,0.632262829812463,0.367737170187537,-0.255484680004351
"49",49,"Rasmussen","9/2/2008","9/2/2008","9/2/2008",500,"LV",48,42,"-","-","3","7","+6R",2008,"AK",63,63,63,0.467,0.533,0.39,0.61,7.7,NA,NA,NA,NA,NA,"Rasmussen",-22,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 Weeks to Go","noncompetitive",-16,16,-0.077,0.632262829812463,0.367737170187537,-0.255484680004351
"50",50,"Ivan Moore","7/18-22/08","7/18/2008","7/22/2008",400,"RV",47,44,"-","-","-","-","+3R",2008,"AK",105,109,107,0.484,0.516,0.39,0.61,9.4,NA,NA,NA,NA,NA,"Ivan Moore",-22,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-19,19,-0.094,0.632262829812463,0.367737170187537,-0.255484680004351
"51",51,"Rasmussen","7/17/2008","7/17/2008","7/17/2008",500,"LV",49,44,"-","-","2","5","+5R",2008,"AK",110,110,110,0.473,0.527,0.39,0.61,8.3,NA,NA,NA,NA,NA,"Rasmussen",-22,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-17,17,-0.083,0.632262829812463,0.367737170187537,-0.255484680004351
"52",52,"DailyKos.com (D)/Research 2000","7/14-16/08","7/14/2008","7/16/2008",600,"LV",51,41,"-","-","-","8","+10R",2008,"AK",111,113,112,0.446,0.554,0.39,0.61,5.6,NA,NA,NA,NA,NA,"DailyKos.com (D)/Research 2000",-22,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-12,12,-0.056,0.632262829812463,0.367737170187537,-0.255484680004351
"53",53,"Rasmussen","6/16/2008","6/16/2008","6/16/2008",500,"LV",45,41,"-","-","7","6","+4R",2008,"AK",141,141,141,0.477,0.523,0.39,0.61,8.7,NA,NA,NA,NA,NA,"Rasmussen",-22,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-18,18,-0.087,0.632262829812463,0.367737170187537,-0.255484680004351
"54",54,"Global Strategy Group (D-DSCC)","6/5-10/08","6/5/2008","6/10/2008",600,"LV",44,42,"3","-","-","-","+2R",2008,"AK",147,152,149.5,0.488,0.512,0.39,0.61,9.8,NA,NA,NA,NA,NA,"Global Strategy Group (D-DSCC)",-22,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","noncompetitive",-20,20,-0.098,0.632262829812463,0.367737170187537,-0.255484680004351
"55",55,"Rasmussen","5/14/2008","5/14/2008","5/14/2008",500,"LV",50,41,"-","-","4","4","+9R",2008,"AK",174,174,174,0.451,0.549,0.39,0.61,6.1,NA,NA,NA,NA,NA,"Rasmussen",-22,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",-13,13,-0.061,0.632262829812463,0.367737170187537,-0.255484680004351
"56",56,"DailyKos.com (D)/Research 2000","5/12-14/08","5/12/2008","5/14/2008",600,"LV",49,42,"-","-","-","9","+7R",2008,"AK",174,176,175,0.462,0.538,0.39,0.61,7.2,NA,NA,NA,NA,NA,"DailyKos.com (D)/Research 2000",-22,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",-15,15,-0.072,0.632262829812463,0.367737170187537,-0.255484680004351
"57",57,"Rasmussen","4/7/2008","4/7/2008","4/7/2008",500,"LV",48,43,"-","-","5","4","+5R",2008,"AK",211,211,211,0.473,0.527,0.39,0.61,8.3,NA,NA,NA,NA,NA,"Rasmussen",-22,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",-17,17,-0.083,0.632262829812463,0.367737170187537,-0.255484680004351
"58",58,"SurveyUSA","2/26-29/08","2/26/2008","2/29/2008",617,"RV",48,43,"-","-","-","9","+5R",2008,"AK",249,252,250.5,0.473,0.527,0.39,0.61,8.3,NA,NA,NA,NA,NA,"SurveyUSA",-22,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","noncompetitive",-17,17,-0.083,0.632262829812463,0.367737170187537,-0.255484680004351
"59",59,"YouGov/Polimetrix","10/18-11/1/08","10/18/2008","11/1/2008",682,"RV",50,46,"-","-","3","0","+4R",2008,"AZ",3,17,10,0.479,0.521,0.457,0.543,2.2,NA,NA,NA,NA,NA,"YouGov/Polimetrix",-9,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-5,5,-0.022,0.552750050304883,0.447249949695117,-0.104726011572182
"60",60,"DailyKos.com (D)/Research 2000","10/28-30/08","10/28/2008","10/30/2008",600,"LV",48,47,"-","-","3","2","+1R",2008,"AZ",5,7,6,0.495,0.505,0.457,0.543,3.8,NA,NA,NA,NA,NA,"DailyKos.com (D)/Research 2000",-9,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last week","noncompetitive",-8,8,-0.038,0.552750050304883,0.447249949695117,-0.104726011572182
"61",61,"ARG","10/28-30/08","10/28/2008","10/30/2008",600,"LV",50,46,"-","-","1","3","+4R",2008,"AZ",5,7,6,0.479,0.521,0.457,0.543,2.2,NA,NA,NA,NA,NA,"ARG",-9,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last week","noncompetitive",-5,5,-0.022,0.552750050304883,0.447249949695117,-0.104726011572182
"62",62,"NBC/Mason-Dixon","10/27-28/08","10/27/2008","10/28/2008",625,"LV",48,44,"-","-","-","6","+4R",2008,"AZ",7,8,7.5,0.478,0.522,0.457,0.543,2.1,NA,NA,NA,NA,NA,"NBC/Mason-Dixon",-9,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-5,5,-0.021,0.552750050304883,0.447249949695117,-0.104726011572182
"63",63,"CNN/Time","10/23-28/08","10/23/2008","10/28/2008",807,"LV",53,46,"-","-","-","2","+7R",2008,"AZ",7,12,9.5,0.465,0.535,0.457,0.543,0.8,NA,NA,NA,NA,NA,"CNN/Time",-9,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-2,2,-0.008,0.552750050304883,0.447249949695117,-0.104726011572182
"64",64,"N. Arizona U","10/18-27/08","10/18/2008","10/27/2008",600,"RV",49,41,"-","-","-","8","+8R",2008,"AZ",8,17,12.5,0.456,0.544,0.457,0.543,0.1,NA,NA,NA,NA,NA,"N. Arizona U",-9,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-1,1,0.001,0.552750050304883,0.447249949695117,-0.104726011572182
